t_s,t_hr_after_36h,equilibrium_active,separation_earth_mars_m,q_osc_earth_mars_m,e_osc_earth_mars,separation_mars_secondary_m,q_osc_mars_secondary_m,e_osc_mars_secondary,separation_earth_secondary_m,q_osc_earth_secondary_m,e_osc_earth_secondary
7200.0,2.0,,159824903.97699612,7632177.211468558,0.9096264256464912,18028482.27850299,8675824.979180465,0.4464616802022555,169260052.96876147,143809257.77130803,0.31301945821597665
7500.0,2.0833333333333335,,159760845.3991755,7595960.947127943,0.9100309761111371,17856051.152492616,8687240.700991992,0.44611834288458185,169384716.61619544,147848873.91393623,0.3214563250989462
7800.0,2.1666666666666665,,159695573.9280867,7559560.756666842,0.9104374611727266,17680418.207749628,8698622.595002495,0.4457781980729883,169503483.77075446,151493613.34811625,0.33399496360009673
8100.0,2.25,,159629098.66789535,7522985.250158229,0.9108457690419163,17501612.447518267,8709950.131084206,0.4454418103323213,169616131.33604428,154732132.20973668,0.35054986155919715
8400.0,2.3333333333333335,,159561429.24014205,7486244.99655523,0.9112557646520675,17319666.531329177,8721202.707884165,0.4451097080458592,169722423.9063015,157572093.70959234,0.3709410411076006
8700.0,2.4166666666666665,,159492575.8189175,7449352.786752937,0.9116672865677113,17134617.16798075,8732359.69765218,0.44478237901678347,169822112.91804743,160034954.2130358,0.3949323838618619
9000.0,2.5,,159422549.16828477,7412323.931313382,0.9120801434880892,16946505.55137877,8743400.495254526,0.44446026583420833,169914935.74342418,162150296.54532441,0.42226649485857176
9300.0,2.5833333333333335,,159351360.68204185,7375176.597469936,0.91249411029209,16755377.844059879,8754304.571633894,0.44414376100526487,170000614.72199973,163951005.1402935,0.4526904901284526
9600.0,2.6666666666666665,,159279022.42591023,7337932.190627475,0.9129089235639702,16561285.713756438,8765051.531979334,0.44383320185830333,170078856.1279731,165469812.09717038,0.4859717151847308
9900.0,2.75,,159205547.1822125,7300615.786240432,0.9133242765315769,16364286.928940946,8775621.17887044,0.44352886522671436,170149349.06997344,166737179.90018988,0.5219051224194342
10200.0,2.8333333333333335,,159130948.49707794,7263256.618685505,0.9137398133403428,16164446.019914664,8785993.580655528,0.4432309619284869,170211764.32106146,167780224.41448763,0.5603148748381065
10500.0,2.9166666666666665,,159055240.7301809,7225888.634548763,0.9141551225771221,15961835.012678582,8796149.145316433,0.4429396310634582,170265753.07715774,168622336.66301414,0.6010524871626766
10800.0,3.0,,158978439.10696623,7188551.118613927,0.9145697299480362,15756534.243536724,8806068.700057209,0.4426549341587619,170310945.64298978,169283219.68939486,0.6439931779642463
11100.0,3.0833333333333335,,158900559.77325666,7151289.401761718,0.9149830900040116,15548633.263122449,8815733.576826869,0.44237684920355336,170346950.0458409,169779140.35179383,0.6890314829240578
11400.0,3.1666666666666665,,158821619.8520535,7114155.660951169,0.9153945767968503,15338231.83929801,8825125.703956919,0.4421052646267551,170373350.57899123,170123269.41419214,0.7360767090540534
11700.0,3.25,,158741637.50223917,7077209.8224258665,0.9158034733378155,15125441.069123736,8834227.704040127,0.441839973287374,170389706.27885708,170326036.78087506,0.7850485010513718
12000.0,3.3333333333333335,,158660631.97875583,7040520.580228267,0.9162089597203905,14910384.610801365,8843022.99811251,0.44158066656581685,170395549.34260443,170395463.5951381,0.835872606830375
12300.0,3.4166666666666665,,158578623.69366515,7004166.542948364,0.9166100997598456,14693200.0471144,8851495.916113192,0.4413269286674892,170390383.4965831,170337453.97007588,0.8884768280671492
12600.0,3.5,,158495634.2772831,6968237.522289235,0.9170058259956809,14474040.392351542,8859631.813480347,0.44107823127745416,170373682.33049598,170156040.99225825,0.942787090859338
12900.0,3.5833333333333335,,158411686.63831863,6932835.9773688875,0.9173949229004864,14253075.754919173,8867417.193593645,0.44083392873765365,170344887.6180085,169853587.8563233,0.9987235496882944
13200.0,3.6666666666666665,,158326805.02161837,6898078.628516809,0.9177760081424574,14030495.167705914,8874839.835584857,0.440593253956944,170303407.65178302,169430947.9141692,1.056196631654957
13500.0,3.75,,158241015.0617146,6864098.253417314,0.9181475117617321,13806508.597599866,8881888.926805792,0.44035531530970506,170248615.63000908,168887588.53932115,1.115102930175262
13800.0,3.8333333333333335,,158154343.8298847,6831045.6764713535,0.9185076531468673,13581349.14416698,8888555.198946824,0.4401190948316972,170179848.14273706,168221683.90328854,1.1753208644301008
14100.0,3.9166666666666665,,158066819.87183395,6799091.958755173,0.9188544157423915,13355275.43512057,8894831.06644836,0.4398834480824979,170096403.8201136,167430181.5504216,1.236706031674967
14400.0,4.0,,157978473.2324012,6768430.790379844,0.9191855194883676,13128574.222500317,8900710.765411437,0.43964710611246516,169997542.22136533,166508847.33094636,1.299086194338033
14700.0,4.083333333333333,,157889335.46284425,6739281.078671326,0.919498391096926,12901563.1780297,8906190.490709707,0.43940868004800915,169882483.0635146,165452292.96937007,1.3622558640357878
15000.0,4.166666666666667,,157799439.6052735,6711889.713483804,0.9197901324197484,12674593.878408397,8911268.52840437,0.4391666688907318,169750405.9127007,164253990.39659527,1.4259704723986983
15300.0,4.25,,157708820.14767256,6686534.474013999,0.9200574873676891,12448054.960718196,8915945.37988013,0.4389194712106177,169600450.48889914,162906277.01015347,1.4899401568211208
15600.0,4.333333333333333,,157617512.9416702,6663527.018383382,0.9202968081246987,12222375.413976735,8920223.873368865,0.43866540149632827,169431717.76684663,161400356.27988935,1.5538232414512194
15900.0,4.416666666666667,,157525555.07383594,6643215.866509479,0.9205040217703606,11998027.95436377,8924109.257701738,0.438402711998977,169243272.09179342,159726298.6079484,1.6172195639234057
16200.0,4.5,,157432984.6798161,6625989.246827101,0.9206745989067239,11775532.407978004,8927609.27230115,0.43812962095867064,169034144.56749955,157873048.09666753,1.6796638907129455
16500.0,4.583333333333333,,157339840.68917474,6612277.626770715,0.9208035264922723,11555458.995382193,8930734.186627293,0.43784434811993866,168803338.01401046,155828441.88182762,1.7406197824202578
16800.0,4.666666666666667,,157246162.4875112,6602555.6845284505,0.9208852878296839,11338431.37609785,8933496.801634649,0.43754515840201386,168549833.83141813,153579249.94351593,1.7994744173566033
17100.0,4.75,,157151989.48146653,6597343.405270015,0.9209138535338733,11125129.268446857,8935912.405392833,0.4372304144657218,168272601.13872045,151111244.7815027,1.855535057349629
