radius_key,dynamical_efficiency,sample,outcome,first_contact_time_hr_after_36h,tidal_passage_count,equilibrium_ever_active,outer_position_perturbation_m,outer_velocity_perturbation_m_s,inner_position_perturbation_m,inner_velocity_perturbation_m_s
r95,0.1,29,earth_secondary_contact,28.674700248124093,2,1,172551.2799188573,20.845444024298843,104609.50881666438,19.176723399843272
r95,0.1,30,earth_secondary_contact,29.333771135955462,2,0,46044.2094153537,38.886302290249105,155920.00058598624,12.477906795444017
r95,0.1,31,earth_secondary_contact,29.07516712404173,2,0,96462.81777278292,24.98665765957347,96575.24390479586,16.3841503058914
r99,0.0,0,earth_secondary_contact,29.07611460731338,2,0,266911.2745088388,32.980353223859396,50037.386229439886,12.62100978451081
r99,0.0,1,earth_secondary_contact,28.59409440251337,2,1,142099.79477547784,39.13652235662996,59946.1683485837,23.692704487928317
r99,0.0,2,earth_secondary_contact,28.872698316626188,2,0,112980.31964841767,21.65518151875099,73244.91441807665,16.56514193406026
r99,0.0,3,earth_secondary_contact,29.2346776852565,2,0,315207.1854821795,35.82077443861536,58341.51469743168,24.26126951975948
r99,0.0,4,earth_secondary_contact,29.110080064770056,2,0,437222.4176170914,4.1032728720539735,98603.88692556912,16.18317502559737
r99,0.0,5,earth_secondary_contact,29.16755661438221,2,0,67192.13487563617,22.16982555120182,62351.14202285223,5.832818521813881
r99,0.0,6,earth_secondary_contact,28.329397422701824,2,1,130323.74372763422,46.86575674002584,142896.84619933247,12.190669805120232
r99,0.0,7,earth_secondary_contact,29.129386934293215,2,0,90040.29382842888,37.14101378295872,80376.24039256264,15.314812614163932
r99,0.0,8,earth_secondary_contact,29.090526381206175,2,0,212679.49068287062,54.92559360133452,24995.410108921784,8.005688173731098
r99,0.0,9,earth_secondary_contact,28.70326829363064,2,1,111883.6873485778,40.672888772102354,74924.65400291864,11.782382944805056
r99,0.0,10,earth_secondary_contact,28.697722803792445,2,1,214950.5045388596,43.068227713138114,90999.6519771366,15.902587628848854
r99,0.0,11,earth_secondary_contact,29.016768617857927,2,0,233973.9920960704,29.120854930092783,27671.602150507908,13.971643881974284
r99,0.0,12,earth_secondary_contact,29.013619810711564,2,0,111403.03092837756,16.993087492196956,101818.13862449926,21.58012580690073
r99,0.0,13,earth_secondary_contact,29.183119661443005,2,0,97947.28536535862,36.14886701432488,28036.398259574045,17.847719047335094
r99,0.0,14,earth_secondary_contact,29.08346627099448,2,0,168313.17740656083,27.946283965519402,82470.91433200857,22.581217061663953
r99,0.0,15,earth_secondary_contact,28.917153960518007,2,0,200179.46142495627,35.714567381340736,58159.23928277778,8.982636502185912
